"(in billions)","AMAZON","GOOGLE","APPLE","MICROSOFT","ORACLE","IBM","SALESFORCE"
"Profits,10years","7","69","175","220","87","158","0"
"Profits,5years","5","54","161","129","60","96","0"
"Profits,1year","1","13","50","28","14","21","0"
"Dividend,1year","0","0","10","7","1","4","0"
"CashRet.,10years","2","1","29","191","39","127","0"
"Cash ret.,5years","1","1","28","71","28","76","0"
"Capex,5years","9","15","22","14","3","20","1"
"Acqui.,5years","3","15","2","13","17","13","5"
"Entrpr. value","141","251","292","216","143","237","33"
"Market cap","143","301","442","278","157","213","31"
